Device,Plant,Truss,Total_flowers,Budding,Transition_B_to_O,Open,Closed,Setting,Broken_Sets,Out_of_Sequence,Test_Year,Test_Month,Test_Day
3,8,201,23.0,16.0,5.0,2.0,0.0,0.0,0.0,0,290304,288,3168
3,8,202,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0,290304,288,3168
3,9,101,8.0,4.0,3.0,1.0,0.0,0.0,0.0,0,290304,288,3168
3,9,201,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0,290304,288,3168
3,10,101,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0,290304,288,3168
3,10,201,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0,290304,288,3168
3,11,101,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0,290304,288,3168
3,11,201,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0,290304,288,3168
3,12,101,8.0,6.0,1.0,1.0,0.0,0.0,0.0,0,290304,288,3168
3,12,201,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0,290304,288,3168
3,13,101,8.0,5.0,3.0,0.0,0.0,0.0,0.0,0,290304,288,3168
3,13,201,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0,290304,288,3168
3,14,101,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0,290304,288,3168
3,14,201,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0,290304,288,3168
5,1,101,15.0,11.0,2.0,2.0,0.0,0.0,0.0,0,290304,288,3168
5,1,201,15.0,12.0,3.0,0.0,0.0,0.0,0.0,0,290304,288,3168
5,2,101,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0,290304,288,3168
5,2,201,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0,290304,288,3168
5,3,101,13.0,10.0,3.0,0.0,0.0,0.0,0.0,0,290304,288,3168
5,3,201,22.0,18.0,4.0,0.0,0.0,0.0,0.0,0,290304,288,3168
5,4,101,9.0,8.0,1.0,0.0,0.0,0.0,0.0,0,290304,288,3168
5,4,201,11.0,9.0,2.0,0.0,0.0,0.0,0.0,0,290304,288,3168
5,5,101,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0,290304,288,3168
5,5,201,13.0,11.0,1.0,1.0,0.0,0.0,0.0,0,290304,288,3168
5,6,101,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0,290304,288,3168
5,7,101,8.0,4.0,3.0,1.0,0.0,0.0,0.0,0,290304,288,3168
5,7,201,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0,290304,288,3168
5,8,101,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0,290304,288,3168
5,8,201,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0,290304,288,3168
5,9,101,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0,290304,288,3168
6,1,101,33.0,23.0,9.0,1.0,0.0,0.0,0.0,0,290304,288,3168
6,1,102,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0,290304,288,3168
6,1,201,14.0,9.0,3.0,2.0,0.0,0.0,0.0,0,290304,288,3168
6,2,101,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0,290304,288,3168
6,2,201,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0,290304,288,3168
6,3,101,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0,290304,288,3168
6,3,201,14.0,11.0,3.0,0.0,0.0,0.0,0.0,0,290304,288,3168
6,4,101,24.0,15.0,5.0,2.0,2.0,0.0,0.0,0,290304,288,3168
6,4,102,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0,290304,288,3168
6,4,201,17.0,11.0,3.0,3.0,0.0,0.0,0.0,0,290304,288,3168
6,4,202,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0,290304,288,3168
6,5,101,27.0,18.0,5.0,4.0,0.0,0.0,0.0,0,290304,288,3168
6,5,102,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0,290304,288,3168
6,5,201,35.0,21.0,6.0,5.0,3.0,0.0,0.0,0,290304,288,3168
6,5,202,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0,290304,288,3168
6,6,101,13.0,10.0,3.0,0.0,0.0,0.0,0.0,0,290304,288,3168
6,6,201,9.0,4.0,2.0,3.0,0.0,0.0,0.0,0,290304,288,3168
6,6,202,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0,290304,288,3168
6,7,101,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0,290304,288,3168
6,7,201,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0,290304,288,3168
6,8,201,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0,290304,288,3168
6,9,101,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0,290304,288,3168
6,9,201,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0,290304,288,3168
6,10,101,8.0,3.0,2.0,3.0,0.0,0.0,0.0,0,290304,288,3168
6,10,102,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0,290304,288,3168
6,10,201,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0,290304,288,3168
6,11,101,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0,290304,288,3168
